test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,setup,setup_bytes,vl,total_time
ofs-update,1,1,0,1,128,4194304,1,1,0,0,0,0,368.781350,6577454160.000000,0,372.211722
ofs-update,1,1,0,1,128,4194304,1,1,1,0,0,0.096337,0,0,1.000000,372.211722
ofs-update,1,1,0,1,128,4194304,1,1,2,0,0,0.022356,0,0,2.000000,372.211722
ofs-update,1,1,0,1,128,4194304,1,1,4,0,0,0.018166,0,0,4.000000,372.211722
ofs-update,1,1,0,1,128,4194304,1,1,8,0,0,0.015575,0,0,8.000000,372.211722
ofs-update,1,1,0,1,128,4194304,1,1,16,0,0,0.015303,0,0,16.000000,372.211722
ofs-update,1,1,0,1,128,4194304,1,1,32,0,0,0.014476,0,0,32.000000,372.211722
ofs-update,1,1,0,1,128,4194304,1,1,64,0,0,0.016528,0,0,64.000000,372.211722
ofs-update,1,1,0,1,128,4194304,1,1,128,0.023451,8913664.000000,0.015576,0,0,128.000000,372.211722
ofs-update,1,1,0,1,128,4194304,1,1,256,0,0,0.013220,0,0,256.000000,372.211722
ofs-update,1,1,0,1,128,4194304,1,1,512,0.023374,6685248.000000,0.015076,0,0,512.000000,372.211722
ofs-update,1,1,0,1,128,4194304,1,1,1024,0.011539,2228416.000000,0.015262,0,0,1024.000000,372.211722
ofs-update,1,1,0,1,128,4194304,1,1,2048,0,0,0.025488,0,0,2048.000000,372.211722
ofs-update,1,1,0,1,128,4194304,1,1,4096,0.010412,3342624.000000,0.055600,0,0,4096.000000,372.211722
ofs-update,1,1,0,1,128,4194304,1,1,8192,0,0,0.108928,0,0,8192.000000,372.211722
ofs-update,1,1,0,1,128,4194304,1,1,16384,0,0,0.202059,0,0,16384.000000,372.211722
ofs-update,1,1,0,1,128,4194304,1,1,32768,0,0,0.401014,0,0,32768.000000,372.211722
ofs-update,1,1,0,1,128,4194304,1,1,65536,0,0,0.764646,0,0,65536.000000,372.211722
ofs-update,1,1,0,1,128,4194304,1,1,131072,0,0,1.523496,0,0,131072.000000,372.211722
