test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
osm,1,1,0,1,128,4194304,23,1,0,0,0,0,0,0,147.759703,3221224704.000000,0,2224.990412
osm,1,1,0,1,128,4194304,23,1,1,0.000002,0.000000,0.305074,303360.000000,2369.000000,0,0,1.000000,2224.990412
osm,1,1,0,1,128,4194304,23,1,2,0.002148,0.000000,0.290213,295680.000000,2308.000000,0,0,2.000000,2224.990412
osm,1,1,0,1,128,4194304,23,1,4,0.000006,0.000000,0.285472,307968.000000,2402.000000,0,0,4.000000,2224.990412
osm,1,1,0,1,128,4194304,23,1,8,0.000013,0.000000,0.304607,344832.000000,2686.000000,0,0,8.000000,2224.990412
osm,1,1,0,1,128,4194304,23,1,16,0.000029,0.000000,0.317840,438528.000000,3410.000000,0,0,16.000000,2224.990412
osm,1,1,0,1,128,4194304,23,1,32,0.000061,0.000000,0.350140,615936.000000,4780.000000,0,0,32.000000,2224.990412
osm,1,1,0,1,128,4194304,23,1,64,0.000131,0.000000,0.397661,968448.000000,7502.000000,0,0,64.000000,2224.990412
osm,1,1,0,1,128,4194304,23,1,128,0.000305,0.000000,0.497397,1632000.000000,12622.000000,0,0,128.000000,2224.990412
osm,1,1,0,1,128,4194304,23,1,256,0.000698,0.000000,0.719716,2903040.000000,22424.000000,0,0,256.000000,2224.990412
osm,1,1,0,1,128,4194304,23,1,512,0.001613,0.000000,1.120636,5257728.000000,40564.000000,0,0,512.000000,2224.990412
osm,1,1,0,1,128,4194304,23,1,1024,0.003772,0.000000,1.842016,9657600.000000,74426.000000,0,0,1024.000000,2224.990412
osm,1,1,0,1,128,4194304,23,1,2048,0.009020,0.000000,3.258383,17532672.000000,134926.000000,0,0,2048.000000,2224.990412
osm,1,1,0,1,128,4194304,23,1,4096,0.021091,0.000000,5.963175,31917312.000000,245258.000000,0,0,4096.000000,2224.990412
osm,1,1,0,1,128,4194304,23,1,8192,0.049506,0.000000,10.618865,57345792.000000,439822.000000,0,0,8192.000000,2224.990412
osm,1,1,0,1,128,4194304,23,1,16384,0.115006,0.000000,19.335685,101935872.000000,779990.000000,0,0,16384.000000,2224.990412
osm,1,1,0,1,128,4194304,23,1,32768,0.265276,0.000000,34.208598,178725120.000000,1363522.000000,0,0,32768.000000,2224.990412
osm,1,1,0,1,128,4194304,23,1,65536,0.614820,0.000000,60.399342,308648448.000000,2345780.000000,0,0,65536.000000,2224.990412
osm,1,1,0,1,128,4194304,23,1,131072,1.450372,0.000000,103.277144,517158912.000000,3909232.000000,0,0,131072.000000,2224.990412
osm,1,1,0,1,128,4194304,23,1,262144,3.340690,0.000000,169.485064,839954688.000000,6300002.000000,0,0,262144.000000,2224.990412
osm,1,1,0,1,128,4194304,23,1,524288,7.870298,0.000000,263.983403,1300665600.000000,9637162.000000,0,0,524288.000000,2224.990412
osm,1,1,0,1,128,4194304,23,1,1048576,19.624909,0.000000,0,0,0,0,0,1048576.000000,2224.990412
osm,1,1,0,1,128,4194304,23,1,2097152,50.542092,0.000000,0,0,0,0,0,2097152.000000,2224.990412
