Total memory usage: 87321224
test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,search,setup,setup_bytes,vl,total_time
ofs,1,1,0,1,128,4194304,1,1,0,0,0,361.973989,6577454160.000000,0,696.947537
ofs,1,1,0,1,128,4194304,1,1,1,0.141125,0.533019,0,0,1.000000,696.947537
ofs,1,1,0,1,128,4194304,1,1,2,0.018828,0.552847,0,0,2.000000,696.947537
ofs,1,1,0,1,128,4194304,1,1,4,0.013934,0.537776,0,0,4.000000,696.947537
ofs,1,1,0,1,128,4194304,1,1,8,0.018015,0.551707,0,0,8.000000,696.947537
ofs,1,1,0,1,128,4194304,1,1,16,0.015565,0.525959,0,0,16.000000,696.947537
ofs,1,1,0,1,128,4194304,1,1,32,0.013948,0.540923,0,0,32.000000,696.947537
ofs,1,1,0,1,128,4194304,1,1,64,0.012410,0.556547,0,0,64.000000,696.947537
ofs,1,1,0,1,128,4194304,1,1,128,0.015271,0.526378,0,0,128.000000,696.947537
ofs,1,1,0,1,128,4194304,1,1,256,0.014091,0.543630,0,0,256.000000,696.947537
ofs,1,1,0,1,128,4194304,1,1,512,0.017104,0.536923,0,0,512.000000,696.947537
ofs,1,1,0,1,128,4194304,1,1,1024,0.015189,0.531945,0,0,1024.000000,696.947537
ofs,1,1,0,1,128,4194304,1,1,2048,0.023627,0.805535,0,0,2048.000000,696.947537
ofs,1,1,0,1,128,4194304,1,1,4096,0.054640,1.308701,0,0,4096.000000,696.947537
ofs,1,1,0,1,128,4194304,1,1,8192,0.088255,2.211225,0,0,8192.000000,696.947537
ofs,1,1,0,1,128,4194304,1,1,16384,0.198429,3.840997,0,0,16384.000000,696.947537
ofs,1,1,0,1,128,4194304,1,1,32768,0.355514,6.623548,0,0,32768.000000,696.947537
ofs,1,1,0,1,128,4194304,1,1,65536,0.681574,11.588945,0,0,65536.000000,696.947537
ofs,1,1,0,1,128,4194304,1,1,131072,1.341867,20.449190,0,0,131072.000000,696.947537
ofs,1,1,0,1,128,4194304,1,1,262144,2.506143,35.705833,0,0,262144.000000,696.947537
ofs,1,1,0,1,128,4194304,1,1,524288,4.835875,62.465494,0,0,524288.000000,696.947537
ofs,1,1,0,1,128,4194304,1,1,1048576,9.276397,0,0,0,1048576.000000,696.947537
ofs,1,1,0,1,128,4194304,1,1,2097152,17.675527,0,0,0,2097152.000000,696.947537
