Total memory usage: 84072884
test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,search,setup,setup_bytes,vl,total_time
ofs,0,1,1,1,128,4194304,1,1,0,0,0,405.590698,6583991376.000000,0,1532.667527
ofs,0,1,1,1,128,4194304,1,1,1,0.084208,0.609227,0,0,1.000000,1532.667527
ofs,0,1,1,1,128,4194304,1,1,2,0.024879,0.573309,0,0,2.000000,1532.667527
ofs,0,1,1,1,128,4194304,1,1,4,0.020258,0.635930,0,0,4.000000,1532.667527
ofs,0,1,1,1,128,4194304,1,1,8,0.016410,0.641193,0,0,8.000000,1532.667527
ofs,0,1,1,1,128,4194304,1,1,16,0.015806,0.560654,0,0,16.000000,1532.667527
ofs,0,1,1,1,128,4194304,1,1,32,0.015272,0.581945,0,0,32.000000,1532.667527
ofs,0,1,1,1,128,4194304,1,1,64,0.021049,0.608922,0,0,64.000000,1532.667527
ofs,0,1,1,1,128,4194304,1,1,128,0.013518,0.584504,0,0,128.000000,1532.667527
ofs,0,1,1,1,128,4194304,1,1,256,0.018240,0.596317,0,0,256.000000,1532.667527
ofs,0,1,1,1,128,4194304,1,1,512,0.035547,0.905875,0,0,512.000000,1532.667527
ofs,0,1,1,1,128,4194304,1,1,1024,0.059470,1.562560,0,0,1024.000000,1532.667527
ofs,0,1,1,1,128,4194304,1,1,2048,0.108309,2.715967,0,0,2048.000000,1532.667527
ofs,0,1,1,1,128,4194304,1,1,4096,0.225085,4.790814,0,0,4096.000000,1532.667527
ofs,0,1,1,1,128,4194304,1,1,8192,0.455670,9.539363,0,0,8192.000000,1532.667527
ofs,0,1,1,1,128,4194304,1,1,16384,0.884446,14.365474,0,0,16384.000000,1532.667527
ofs,0,1,1,1,128,4194304,1,1,32768,1.708339,25.744389,0,0,32768.000000,1532.667527
ofs,0,1,1,1,128,4194304,1,1,65536,3.451290,44.585257,0,0,65536.000000,1532.667527
ofs,0,1,1,1,128,4194304,1,1,131072,6.877374,77.667695,0,0,131072.000000,1532.667527
ofs,0,1,1,1,128,4194304,1,1,262144,13.103430,131.540788,0,0,262144.000000,1532.667527
ofs,0,1,1,1,128,4194304,1,1,524288,25.801447,221.865075,0,0,524288.000000,1532.667527
ofs,0,1,1,1,128,4194304,1,1,1048576,51.254558,0,0,0,1048576.000000,1532.667527
ofs,0,1,1,1,128,4194304,1,1,2097152,100.093996,0,0,0,2097152.000000,1532.667527
