test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
osm,0,1,1,1,128,4194304,23,1,0,0,0,0,0,0,1292.908613,3221224704.000000,0,8313.837552
osm,0,1,1,1,128,4194304,23,1,1,0.000002,0.000000,5.553213,304128.000000,2375.000000,0,0,1.000000,8313.837552
osm,0,1,1,1,128,4194304,23,1,2,0.000003,0.000000,5.682104,301056.000000,2350.000000,0,0,2.000000,8313.837552
osm,0,1,1,1,128,4194304,23,1,4,0.000007,0.000000,6.156107,306432.000000,2390.000000,0,0,4.000000,8313.837552
osm,0,1,1,1,128,4194304,23,1,8,0.000013,0.000000,6.050960,345600.000000,2692.000000,0,0,8.000000,8313.837552
osm,0,1,1,1,128,4194304,23,1,16,0.000029,0.000000,6.518385,432384.000000,3362.000000,0,0,16.000000,8313.837552
osm,0,1,1,1,128,4194304,23,1,32,0.000061,0.000000,6.538361,609024.000000,4726.000000,0,0,32.000000,8313.837552
osm,0,1,1,1,128,4194304,23,1,64,0.000132,0.000000,8.145747,961536.000000,7448.000000,0,0,64.000000,8313.837552
osm,0,1,1,1,128,4194304,23,1,128,0.000302,0.000000,9.510739,1648896.000000,12754.000000,0,0,128.000000,8313.837552
osm,0,1,1,1,128,4194304,23,1,256,0.000694,0.000000,13.750441,2890752.000000,22328.000000,0,0,256.000000,8313.837552
osm,0,1,1,1,128,4194304,23,1,512,0.001608,0.000000,20.664451,5279232.000000,40732.000000,0,0,512.000000,8313.837552
osm,0,1,1,1,128,4194304,23,1,1024,0.003724,0.000000,32.886968,9657600.000000,74426.000000,0,0,1024.000000,8313.837552
osm,0,1,1,1,128,4194304,23,1,2048,0.009285,0.000000,51.568455,17534976.000000,134944.000000,0,0,2048.000000,8313.837552
osm,0,1,1,1,128,4194304,23,1,4096,0.020566,0.000000,84.532213,31968768.000000,245660.000000,0,0,4096.000000,8313.837552
osm,0,1,1,1,128,4194304,23,1,8192,0.047456,0.000000,134.421712,57272064.000000,439246.000000,0,0,8192.000000,8313.837552
osm,0,1,1,1,128,4194304,23,1,16384,0.109614,0.000000,212.433245,102334464.000000,783104.000000,0,0,16384.000000,8313.837552
osm,0,1,1,1,128,4194304,23,1,32768,0.255516,0.000000,323.333969,179023104.000000,1365850.000000,0,0,32768.000000,8313.837552
osm,0,1,1,1,128,4194304,23,1,65536,0.588118,0.000000,459.520603,308559360.000000,2345084.000000,0,0,65536.000000,8313.837552
osm,0,1,1,1,128,4194304,23,1,131072,1.349305,0.000000,613.216809,517602048.000000,3912694.000000,0,0,131072.000000,8313.837552
osm,0,1,1,1,128,4194304,23,1,262144,3.178159,0.000000,823.088981,839636736.000000,6297518.000000,0,0,262144.000000,8313.837552
osm,0,1,1,1,128,4194304,23,1,524288,7.595180,0.000000,1143.279739,1300982784.000000,9639640.000000,0,0,524288.000000,8313.837552
osm,0,1,1,1,128,4194304,23,1,1048576,19.870987,0.000000,0,0,0,0,0,1048576.000000,8313.837552
osm,0,1,1,1,128,4194304,23,1,2097152,51.272675,0.000000,0,0,0,0,0,2097152.000000,8313.837552
