test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,search,setup,setup_bytes,vl,total_time
ofs,0,1,1,1,128,4194304,1,1,0,0,0,2002.471075,6572686416.000000,0,2399.983448
ofs,0,1,1,1,128,4194304,1,1,1,0.249769,2.090959,0,0,1.000000,2399.983448
ofs,0,1,1,1,128,4194304,1,1,2,0.037666,1.912565,0,0,2.000000,2399.983448
ofs,0,1,1,1,128,4194304,1,1,4,0.045536,2.091788,0,0,4.000000,2399.983448
ofs,0,1,1,1,128,4194304,1,1,8,0.034029,1.901664,0,0,8.000000,2399.983448
ofs,0,1,1,1,128,4194304,1,1,16,0.042245,2.033880,0,0,16.000000,2399.983448
ofs,0,1,1,1,128,4194304,1,1,32,0.037482,2.036426,0,0,32.000000,2399.983448
ofs,0,1,1,1,128,4194304,1,1,64,0.032662,2.163021,0,0,64.000000,2399.983448
ofs,0,1,1,1,128,4194304,1,1,128,0.037452,2.102117,0,0,128.000000,2399.983448
ofs,0,1,1,1,128,4194304,1,1,256,0.031165,2.049464,0,0,256.000000,2399.983448
ofs,0,1,1,1,128,4194304,1,1,512,0.037916,2.055699,0,0,512.000000,2399.983448
ofs,0,1,1,1,128,4194304,1,1,1024,0.026746,2.001900,0,0,1024.000000,2399.983448
ofs,0,1,1,1,128,4194304,1,1,2048,0.026854,2.003875,0,0,2048.000000,2399.983448
ofs,0,1,1,1,128,4194304,1,1,4096,0.034761,1.993588,0,0,4096.000000,2399.983448
ofs,0,1,1,1,128,4194304,1,1,8192,0.076850,3.418187,0,0,8192.000000,2399.983448
ofs,0,1,1,1,128,4194304,1,1,16384,0.143368,5.474798,0,0,16384.000000,2399.983448
ofs,0,1,1,1,128,4194304,1,1,32768,0.254448,8.836652,0,0,32768.000000,2399.983448
ofs,0,1,1,1,128,4194304,1,1,65536,0.517982,15.299016,0,0,65536.000000,2399.983448
ofs,0,1,1,1,128,4194304,1,1,131072,0.992965,24.703169,0,0,131072.000000,2399.983448
ofs,0,1,1,1,128,4194304,1,1,262144,1.774813,44.668512,0,0,262144.000000,2399.983448
ofs,0,1,1,1,128,4194304,1,1,524288,3.182901,71.292766,0,0,524288.000000,2399.983448
ofs,0,1,1,1,128,4194304,1,1,1048576,5.524275,0,0,0,1048576.000000,2399.983448
ofs,0,1,1,1,128,4194304,1,1,2097152,9.977619,0,0,0,2097152.000000,2399.983448
