test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,insert,insert_bytes,setup,setup_bytes,vl,total_time
osm,0,1,1,1,128,65536,17,1,0,0,0,0,19.022912,50330880.000000,0,318.385554
osm,0,1,1,1,128,65536,17,1,1,0,0.763183,1084416.000000,0,0,1.000000,318.385554
osm,0,1,1,1,128,65536,17,1,2,0,1.320043,1967616.000000,0,0,2.000000,318.385554
osm,0,1,1,1,128,65536,17,1,4,0,2.083075,3469824.000000,0,0,4.000000,318.385554
osm,0,1,1,1,128,65536,17,1,8,0,3.184763,5899776.000000,0,0,8.000000,318.385554
osm,0,1,1,1,128,65536,17,1,16,0,4.745426,10309632.000000,0,0,16.000000,318.385554
osm,0,1,1,1,128,65536,17,1,32,0,7.478618,17264640.000000,0,0,32.000000,318.385554
osm,0,1,1,1,128,65536,17,1,64,0,9.703720,27706368.000000,0,0,64.000000,318.385554
osm,0,1,1,1,128,65536,17,1,128,0.708187,12.497649,42667008.000000,0,0,128.000000,318.385554
osm,0,1,1,1,128,65536,17,1,256,0,16.834188,61800960.000000,0,0,256.000000,318.385554
osm,0,1,1,1,128,65536,17,1,512,0.684224,22.914546,80643072.000000,0,0,512.000000,318.385554
osm,0,1,1,1,128,65536,17,1,1024,0.805180,27.719924,94665216.000000,0,0,1024.000000,318.385554
osm,0,1,1,1,128,65536,17,1,2048,0,30.393279,100015104.000000,0,0,2048.000000,318.385554
osm,0,1,1,1,128,65536,17,1,4096,0.648092,29.077443,100655616.000000,0,0,4096.000000,318.385554
osm,0,1,1,1,128,65536,17,1,8192,0,30.488334,100661760.000000,0,0,8192.000000,318.385554
osm,0,1,1,1,128,65536,17,1,16384,0,31.333397,100661760.000000,0,0,16384.000000,318.385554
osm,0,1,1,1,128,65536,17,1,32768,0,32.158346,100661760.000000,0,0,32768.000000,318.385554
osm,0,1,1,1,128,65536,17,1,65536,0,33.814527,100661760.000000,0,0,65536.000000,318.385554
