test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
osm,0,1,1,1,128,4194304,23,1,0,0,0,0,0,0,34015.727255,3221224704.000000,0,113599.374875
osm,0,1,1,1,128,4194304,23,1,1,0.000002,0.000000,25.315330,301824.000000,2357.000000,0,0,1.000000,113599.374875
osm,0,1,1,1,128,4194304,23,1,2,0.000115,0.000000,26.322074,301824.000000,2356.000000,0,0,2.000000,113599.374875
osm,0,1,1,1,128,4194304,23,1,4,0.000006,0.000000,26.822707,314112.000000,2450.000000,0,0,4.000000,113599.374875
osm,0,1,1,1,128,4194304,23,1,8,0.000013,0.000000,27.978662,348672.000000,2716.000000,0,0,8.000000,113599.374875
osm,0,1,1,1,128,4194304,23,1,16,0.000029,0.000000,29.327610,424704.000000,3302.000000,0,0,16.000000,113599.374875
osm,0,1,1,1,128,4194304,23,1,32,0.000066,0.000000,31.828279,604416.000000,4690.000000,0,0,32.000000,113599.374875
osm,0,1,1,1,128,4194304,23,1,64,0.000139,0.000000,41.928647,945408.000000,7322.000000,0,0,64.000000,113599.374875
osm,0,1,1,1,128,4194304,23,1,128,0.000334,0.000000,47.244691,1642752.000000,12706.000000,0,0,128.000000,113599.374875
osm,0,1,1,1,128,4194304,23,1,256,0.000775,0.000000,61.614190,2909952.000000,22478.000000,0,0,256.000000,113599.374875
osm,0,1,1,1,128,4194304,23,1,512,0.001703,0.000000,100.935273,5273856.000000,40690.000000,0,0,512.000000,113599.374875
osm,0,1,1,1,128,4194304,23,1,1024,0.003939,0.000000,181.835736,9580800.000000,73826.000000,0,0,1024.000000,113599.374875
osm,0,1,1,1,128,4194304,23,1,2048,0.009124,0.000000,298.631537,17596416.000000,135424.000000,0,0,2048.000000,113599.374875
osm,0,1,1,1,128,4194304,23,1,4096,0.021120,0.000000,540.479386,31781376.000000,244196.000000,0,0,4096.000000,113599.374875
osm,0,1,1,1,128,4194304,23,1,8192,0.048613,0.000000,934.876199,57276672.000000,439282.000000,0,0,8192.000000,113599.374875
osm,0,1,1,1,128,4194304,23,1,16384,0.113516,0.000000,1644.819290,102205440.000000,782096.000000,0,0,16384.000000,113599.374875
osm,0,1,1,1,128,4194304,23,1,32768,0.314260,0.000000,2830.293855,178983936.000000,1365544.000000,0,0,32768.000000,113599.374875
osm,0,1,1,1,128,4194304,23,1,65536,0.990249,0.000000,4687.940788,308048640.000000,2341094.000000,0,0,65536.000000,113599.374875
osm,0,1,1,1,128,4194304,23,1,131072,3.063813,0.000000,7620.124336,517575936.000000,3912490.000000,0,0,131072.000000,113599.374875
osm,0,1,1,1,128,4194304,23,1,262144,7.230053,0.000000,11746.448685,839405568.000000,6295712.000000,0,0,262144.000000,113599.374875
osm,0,1,1,1,128,4194304,23,1,524288,16.700534,0.000000,17461.213633,1301263104.000000,9641830.000000,0,0,524288.000000,113599.374875
osm,0,1,1,1,128,4194304,23,1,1048576,40.228478,0.000000,0,0,0,0,0,1048576.000000,113599.374875
osm,0,1,1,1,128,4194304,23,1,2097152,91.439578,0.000000,0,0,0,0,0,2097152.000000,113599.374875
