test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,insert,insert_bytes,search,search_bytes,search_false_pos,setup,setup_bytes,vl,total_time
osm,0,1,1,1,128,4194304,23,1,0,0,0,0,0,0,1279.636070,3221224704.000000,0,8089.229006
osm,0,1,1,1,128,4194304,23,1,1,0.000002,0.000000,5.897801,286464.000000,2237.000000,0,0,1.000000,8089.229006
osm,0,1,1,1,128,4194304,23,1,2,0.003554,0.000000,5.850627,294912.000000,2302.000000,0,0,2.000000,8089.229006
osm,0,1,1,1,128,4194304,23,1,4,0.000006,0.000000,5.692902,314880.000000,2456.000000,0,0,4.000000,8089.229006
osm,0,1,1,1,128,4194304,23,1,8,0.000013,0.000000,5.786238,346368.000000,2698.000000,0,0,8.000000,8089.229006
osm,0,1,1,1,128,4194304,23,1,16,0.000031,0.000000,6.594405,434688.000000,3380.000000,0,0,16.000000,8089.229006
osm,0,1,1,1,128,4194304,23,1,32,0.000065,0.000000,7.077765,612864.000000,4756.000000,0,0,32.000000,8089.229006
osm,0,1,1,1,128,4194304,23,1,64,0.000133,0.000000,7.989016,961536.000000,7448.000000,0,0,64.000000,8089.229006
osm,0,1,1,1,128,4194304,23,1,128,0.000295,0.000000,9.917023,1641984.000000,12700.000000,0,0,128.000000,8089.229006
osm,0,1,1,1,128,4194304,23,1,256,0.000702,0.000000,13.300162,2898432.000000,22388.000000,0,0,256.000000,8089.229006
osm,0,1,1,1,128,4194304,23,1,512,0.001598,0.000000,20.659408,5229312.000000,40342.000000,0,0,512.000000,8089.229006
osm,0,1,1,1,128,4194304,23,1,1024,0.003731,0.000000,31.647535,9635328.000000,74252.000000,0,0,1024.000000,8089.229006
osm,0,1,1,1,128,4194304,23,1,2048,0.008789,0.000000,52.161416,17554176.000000,135094.000000,0,0,2048.000000,8089.229006
osm,0,1,1,1,128,4194304,23,1,4096,0.020532,0.000000,84.128386,31861248.000000,244820.000000,0,0,4096.000000,8089.229006
osm,0,1,1,1,128,4194304,23,1,8192,0.047483,0.000000,136.647823,57275136.000000,439270.000000,0,0,8192.000000,8089.229006
osm,0,1,1,1,128,4194304,23,1,16384,0.110121,0.000000,210.984775,102190848.000000,781982.000000,0,0,16384.000000,8089.229006
osm,0,1,1,1,128,4194304,23,1,32768,0.255808,0.000000,320.631896,179110656.000000,1366534.000000,0,0,32768.000000,8089.229006
osm,0,1,1,1,128,4194304,23,1,65536,0.602918,0.000000,452.739753,308538624.000000,2344922.000000,0,0,65536.000000,8089.229006
osm,0,1,1,1,128,4194304,23,1,131072,1.425550,0.000000,598.854501,517281024.000000,3910186.000000,0,0,131072.000000,8089.229006
osm,0,1,1,1,128,4194304,23,1,262144,3.249685,0.000000,782.637354,840164352.000000,6301640.000000,0,0,262144.000000,8089.229006
osm,0,1,1,1,128,4194304,23,1,524288,7.750309,0.000000,1114.149482,1301437440.000000,9643192.000000,0,0,524288.000000,8089.229006
osm,0,1,1,1,128,4194304,23,1,1048576,19.571290,0.000000,0,0,0,0,0,1048576.000000,8089.229006
osm,0,1,1,1,128,4194304,23,1,2097152,50.936289,0.000000,0,0,0,0,0,2097152.000000,8089.229006
