test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,setup,setup_bytes,vl,total_time
ofs-update,0,1,1,1,128,65536,1,1,0,0,0,0,7.011602,101675088.000000,0,7.124755
ofs-update,0,1,1,1,128,65536,1,1,1,0,0,0.013572,0,0,1.000000,7.124755
ofs-update,0,1,1,1,128,65536,1,1,2,0,0,0.006912,0,0,2.000000,7.124755
ofs-update,0,1,1,1,128,65536,1,1,4,0,0,0.006639,0,0,4.000000,7.124755
ofs-update,0,1,1,1,128,65536,1,1,8,0,0,0.007736,0,0,8.000000,7.124755
ofs-update,0,1,1,1,128,65536,1,1,16,0,0,0.005214,0,0,16.000000,7.124755
ofs-update,0,1,1,1,128,65536,1,1,32,0,0,0.005090,0,0,32.000000,7.124755
ofs-update,0,1,1,1,128,65536,1,1,64,0,0,0.005999,0,0,64.000000,7.124755
ofs-update,0,1,1,1,128,65536,1,1,128,0.010016,5571040.000000,0.002610,0,0,128.000000,7.124755
ofs-update,0,1,1,1,128,65536,1,1,256,0,0,0.002833,0,0,256.000000,7.124755
ofs-update,0,1,1,1,128,65536,1,1,512,0.011366,2228416.000000,0.006176,0,0,512.000000,7.124755
ofs-update,0,1,1,1,128,65536,1,1,1024,0.004121,1114208.000000,0.005619,0,0,1024.000000,7.124755
ofs-update,0,1,1,1,128,65536,1,1,2048,0,0,0.009697,0,0,2048.000000,7.124755
ofs-update,0,1,1,1,128,65536,1,1,4096,0.004866,2228416.000000,0,0,0,0,7.124755
